"","rules","support","confidence"
"1","wife.religion=1 => media.expo=0","0.782077393075356","0.919393455706305"
"2","media.expo=0 => wife.religion=1","0.782077393075356","0.844574780058651"
"3","wife.working=1 => media.expo=0","0.693822131704005","0.925724637681159"
"4","wife.working=1 => wife.religion=1","0.648336727766463","0.865036231884058"
"5","wife.religion=1,wife.working=1 => media.expo=0","0.595383570943652","0.918324607329843"
"6","media.expo=0,wife.working=1 => wife.religion=1","0.595383570943652","0.858121330724071"
"7","husband.edu=4 => media.expo=0","0.592668024439919","0.971078976640712"
"8","children=0 => media.expo=0","0.583842498302783","0.947136563876652"
"9","children=0 => wife.religion=1","0.513238289205703","0.832599118942731"
"10","wife.age=0 => media.expo=0","0.503733876442634","0.951282051282051"
"11","children=0,wife.religion=1 => media.expo=0","0.48336727766463","0.941798941798942"
"12","children=0,media.expo=0 => wife.religion=1","0.48336727766463","0.827906976744186"
"13","wife.age=0 => wife.religion=1","0.477936184657162","0.902564102564103"
"14","husband.edu=4,wife.religion=1 => media.expo=0","0.471826205023761","0.970670391061452"
"15","stand.living=4 => media.expo=0","0.45213849287169","0.973684210526316"
"16","wife.age=0,wife.religion=1 => media.expo=0","0.45213849287169","0.946022727272727"
"17","media.expo=0,wife.age=0 => wife.religion=1","0.45213849287169","0.897574123989218"
"18","wife.age=0 => media.expo=0,wife.religion=1","0.45213849287169","0.853846153846154"
"19","husband.edu=4,wife.working=1 => media.expo=0","0.443312966734555","0.97172619047619"
"20","wife.age=0 => children=0","0.429056347589952","0.81025641025641"
"21","children=0,wife.working=1 => media.expo=0","0.424304141208418","0.948406676783004"
"22","wife.age=1 => media.expo=0","0.422267481330618","0.897546897546898"
"23","children=0,wife.age=0 => media.expo=0","0.410726408689749","0.957278481012658"
"24","media.expo=0,wife.age=0 => children=0","0.410726408689749","0.815363881401617"
"25","children=0,husband.edu=4 => media.expo=0","0.401900882552614","0.976897689768977"
"26","wife.edu=4 => media.expo=0","0.387644263408011","0.989601386481802"
"27","children=0,wife.age=0 => wife.religion=1","0.382892057026477","0.892405063291139"
