"","rules","support","confidence"
"28","wife.age=0,wife.religion=1 => children=0","0.382892057026477","0.801136363636364"
"29","wife.age=0,wife.working=1 => media.expo=0","0.380855397148676","0.947635135135135"
"30","children=0,wife.working=1 => wife.religion=1","0.379497623896809","0.848254931714719"
"31","contraceptive.method=1 => media.expo=0","0.376782077393075","0.88235294117647"
"32","contraceptive.method=1 => wife.religion=1","0.376103190767142","0.880763116057234"
"33","husband.edu=4,wife.working=1 => wife.religion=1","0.370672097759674","0.8125"
"34","wife.edu=4 => husband.edu=4","0.369314324507807","0.942807625649913"
"35","wife.age=0,wife.working=1 => wife.religion=1","0.367277664630007","0.913851351351351"
"36","husband.edu=4,wife.edu=4 => media.expo=0","0.365241004752206","0.988970588235294"
"37","media.expo=0,wife.edu=4 => husband.edu=4","0.365241004752206","0.942206654991244"
"38","wife.edu=4 => husband.edu=4,media.expo=0","0.365241004752206","0.932409012131716"
"39","children=0,wife.age=0,wife.religion=1 => media.expo=0","0.364562118126273","0.952127659574468"
"40","children=0,media.expo=0,wife.age=0 => wife.religion=1","0.364562118126273","0.887603305785124"
"41","children=0,wife.age=0 => media.expo=0,wife.religion=1","0.364562118126273","0.849683544303797"
"42","media.expo=0,wife.age=0,wife.religion=1 => children=0","0.364562118126273","0.806306306306306"
"43","husband.occu=3 => media.expo=0","0.360488798370672","0.907692307692308"
"44","husband.edu=4,wife.religion=1,wife.working=1 => media.expo=0","0.359809911744739","0.970695970695971"
"45","husband.edu=4,media.expo=0,wife.working=1 => wife.religion=1","0.359809911744739","0.811638591117917"
"46","children=0,wife.religion=1,wife.working=1 => media.expo=0","0.357094365241005","0.940966010733453"
"47","children=0,media.expo=0,wife.working=1 => wife.religion=1","0.357094365241005","0.8416"
"48","husband.occu=3 => wife.religion=1","0.356415478615071","0.897435897435897"
"49","stand.living=4,wife.religion=1 => media.expo=0","0.347589952477936","0.967863894139886"
"50","husband.edu=4,stand.living=4 => media.expo=0","0.346232179226069","0.980769230769231"
"51","wife.age=0,wife.religion=1,wife.working=1 => media.expo=0","0.346232179226069","0.942698706099815"
"52","media.expo=0,wife.age=0,wife.working=1 => wife.religion=1","0.346232179226069","0.909090909090909"
"53","wife.age=0,wife.working=1 => media.expo=0,wife.religion=1","0.346232179226069","0.861486486486487"
"54","children=1 => media.expo=0","0.342158859470468","0.892035398230088"
"55","children=1 => wife.religion=1","0.337406653088934","0.879646017699115"
"56","contraceptive.method=3 => media.expo=0","0.329938900203666","0.951076320939335"
"57","wife.age=1,wife.religion=1 => media.expo=0","0.329938900203666","0.885245901639344"
"58","contraceptive.method=1,wife.religion=1 => media.expo=0","0.328581126951799","0.873646209386282"
"59","contraceptive.method=1,media.expo=0 => wife.religion=1","0.328581126951799","0.872072072072072"
"60","stand.living=4,wife.working=1 => media.expo=0","0.324507807196198","0.975510204081633"
"61","husband.occu=3,wife.religion=1 => media.expo=0","0.323150033944331","0.906666666666667"
"62","husband.occu=3,media.expo=0 => wife.religion=1","0.323150033944331","0.896421845574388"
"63","husband.occu=3 => media.expo=0,wife.religion=1","0.323150033944331","0.813675213675214"
"64","children=0,husband.edu=4,wife.religion=1 => media.expo=0","0.315682281059063","0.974842767295598"
"65","husband.edu=4,wife.age=0 => media.expo=0","0.314324507807196","0.974736842105263"
"66","wife.age=1,wife.working=1 => media.expo=0","0.312966734555329","0.900390625"
"67","children=0,wife.age=0,wife.working=1 => media.expo=0","0.306177868295995","0.957537154989384"
"68","media.expo=0,wife.age=0,wife.working=1 => children=0","0.306177868295995","0.803921568627451"
"69","contraceptive.method=3 => wife.religion=1","0.300067888662593","0.864970645792564"
"70","children=1,wife.religion=1 => media.expo=0","0.298710115410726","0.885311871227364"
"71","children=1,media.expo=0 => wife.religion=1","0.298710115410726","0.873015873015873"
"72","wife.edu=4,wife.religion=1 => media.expo=0","0.291921249151392","0.990783410138249"
"73","children=0,husband.edu=4,wife.working=1 => media.expo=0","0.289884589273591","0.981609195402299"
"74","children=0,wife.age=0,wife.working=1 => wife.religion=1","0.289884589273591","0.906581740976645"
"75","husband.occu=1 => media.expo=0","0.287169042769857","0.970183486238532"
"76","contraceptive.method=3,wife.religion=1 => media.expo=0","0.285132382892057","0.950226244343891"
"77","contraceptive.method=3,media.expo=0 => wife.religion=1","0.285132382892057","0.864197530864197"
"78","contraceptive.method=3 => media.expo=0,wife.religion=1","0.285132382892057","0.821917808219178"
"79","children=0,stand.living=4 => media.expo=0","0.283095723014257","0.974299065420561"
"80","wife.age=1,wife.working=1 => wife.religion=1","0.281059063136456","0.80859375"
"81","husband.occu=3,wife.working=1 => media.expo=0","0.280380176510523","0.911699779249448"
"82","husband.occu=3,wife.working=1 => wife.religion=1","0.279022403258656","0.907284768211921"
"83","husband.edu=4,wife.age=1 => media.expo=0","0.278343516632722","0.966981132075472"
"84","stand.living=3 => media.expo=0","0.277664630006789","0.948955916473318"
"85","husband.edu=4,wife.age=0 => children=0","0.277664630006789","0.861052631578947"
"86","husband.edu=4,wife.age=0 => wife.religion=1","0.277664630006789","0.861052631578947"
"87","contraceptive.method=1,wife.working=1 => wife.religion=1","0.276306856754922","0.886710239651416"
"88","wife.edu=4,wife.religion=1 => husband.edu=4","0.274949083503055","0.933179723502304"
"89","wife.edu=4,wife.working=1 => media.expo=0","0.273591310251188","0.99017199017199"
"90","contraceptive.method=1,wife.working=1 => media.expo=0","0.273591310251188","0.877995642701525"
"91","husband.edu=4,wife.edu=4,wife.religion=1 => media.expo=0","0.272233536999321","0.990123456790124"
"92","media.expo=0,wife.edu=4,wife.religion=1 => husband.edu=4","0.272233536999321","0.932558139534884"
"93","wife.edu=4,wife.religion=1 => husband.edu=4,media.expo=0","0.272233536999321","0.923963133640553"
"94","children=0,husband.edu=4,wife.age=0 => media.expo=0","0.271554650373388","0.97799511002445"
"95","husband.edu=4,media.expo=0,wife.age=0 => children=0","0.271554650373388","0.863930885529158"
"96","husband.edu=4,wife.age=0 => children=0,media.expo=0","0.271554650373388","0.842105263157895"
"97","husband.occu=1 => husband.edu=4","0.270875763747454","0.915137614678899"
"98","husband.edu=4,wife.age=0,wife.religion=1 => media.expo=0","0.269517990495587","0.970660146699266"
"99","children=1,wife.working=1 => media.expo=0","0.269517990495587","0.892134831460674"
"100","husband.edu=4,media.expo=0,wife.age=0 => wife.religion=1","0.269517990495587","0.857451403887689"
"101","husband.edu=4,wife.age=0 => media.expo=0,wife.religion=1","0.269517990495587","0.835789473684211"
"102","children=1,wife.working=1 => wife.religion=1","0.268839103869654","0.889887640449438"
"103","children=0,wife.edu=4 => media.expo=0","0.26816021724372","0.989974937343358"
"104","wife.edu=3 => media.expo=0","0.26612355736592","0.95609756097561"
"105","children=0,contraceptive.method=1 => media.expo=0","0.26612355736592","0.928909952606635"
"106","husband.occu=2 => media.expo=0","0.264086897488119","0.915294117647059"
"107","husband.edu=4,husband.occu=1 => media.expo=0","0.263408010862186","0.972431077694236"
"108","husband.occu=1,media.expo=0 => husband.edu=4","0.263408010862186","0.91725768321513"
"109","husband.occu=1 => husband.edu=4,media.expo=0","0.263408010862186","0.889908256880734"
"110","stand.living=3 => wife.religion=1","0.262050237610319","0.895591647331787"
"111","stand.living=4,wife.edu=4 => media.expo=0","0.260692464358452","0.994818652849741"
"112","wife.edu=4,wife.working=1 => husband.edu=4","0.260692464358452","0.943488943488943"
"113","children=0,wife.edu=4 => husband.edu=4","0.259334691106585","0.957393483709273"
"114","contraceptive.method=3,wife.working=1 => media.expo=0","0.258655804480652","0.950124688279302"
"115","husband.edu=4,wife.edu=4,wife.working=1 => media.expo=0","0.257976917854718","0.989583333333333"
"116","media.expo=0,wife.edu=4,wife.working=1 => husband.edu=4","0.257976917854718","0.942928039702233"
"117","wife.edu=4,wife.working=1 => husband.edu=4,media.expo=0","0.257976917854718","0.933660933660934"
"118","children=0,husband.edu=4,wife.edu=4 => media.expo=0","0.256619144602851","0.989528795811518"
"119","children=0,media.expo=0,wife.edu=4 => husband.edu=4","0.256619144602851","0.956962025316456"
"120","children=0,wife.edu=4 => husband.edu=4,media.expo=0","0.256619144602851","0.947368421052632"
"121","husband.edu=4,stand.living=4,wife.religion=1 => media.expo=0","0.255261371350984","0.976623376623377"
"122","stand.living=4,wife.religion=1,wife.working=1 => media.expo=0","0.255261371350984","0.969072164948453"
"123","stand.living=4,wife.edu=4 => husband.edu=4","0.253903598099117","0.968911917098445"
"124","husband.occu=3,wife.religion=1,wife.working=1 => media.expo=0","0.253224711473184","0.907542579075426"
"125","husband.occu=3,media.expo=0,wife.working=1 => wife.religion=1","0.253224711473184","0.903147699757869"
"126","husband.occu=3,wife.working=1 => media.expo=0,wife.religion=1","0.253224711473184","0.823399558498896"
"127","husband.edu=4,stand.living=4,wife.edu=4 => media.expo=0","0.252545824847251","0.994652406417112"
"128","stand.living=4,wife.age=1 => media.expo=0","0.252545824847251","0.971279373368146"
"129","media.expo=0,stand.living=4,wife.edu=4 => husband.edu=4","0.252545824847251","0.96875"
"130","stand.living=4,wife.edu=4 => husband.edu=4,media.expo=0","0.252545824847251","0.963730569948187"
