"","rules","support","lift"
"78","safety=low => class=unacc,doors=3","0.0833333333333333","1.44"
"79","buying=high,persons=2 => class=unacc","0.0833333333333333","1.42809917355372"
"80","class=unacc => buying=high,persons=2","0.0833333333333333","1.42809917355372"
"81","buying=high,safety=low => class=unacc","0.0833333333333333","1.42809917355372"
"82","class=unacc => buying=high,safety=low","0.0833333333333333","1.42809917355372"
"83","buying=low,persons=2 => class=unacc","0.0833333333333333","1.42809917355372"
"84","class=unacc => buying=low,persons=2","0.0833333333333333","1.42809917355372"
"85","buying=low,safety=low => class=unacc","0.0833333333333333","1.42809917355372"
"86","class=unacc => buying=low,safety=low","0.0833333333333333","1.42809917355372"
"87","buying=med,persons=2 => class=unacc","0.0833333333333333","1.42809917355372"
"88","class=unacc => buying=med,persons=2","0.0833333333333333","1.42809917355372"
"89","buying=med,safety=low => class=unacc","0.0833333333333333","1.42809917355372"
"90","class=unacc => buying=med,safety=low","0.0833333333333333","1.42809917355372"
"91","buying=vhigh,persons=2 => class=unacc","0.0833333333333333","1.42809917355372"
"92","class=unacc => buying=vhigh,persons=2","0.0833333333333333","1.42809917355372"
"93","buying=vhigh,safety=low => class=unacc","0.0833333333333333","1.42809917355372"
"94","class=unacc => buying=vhigh,safety=low","0.0833333333333333","1.42809917355372"
"95","doors=2,persons=2 => class=unacc","0.0833333333333333","1.42809917355372"
"96","class=unacc => doors=2,persons=2","0.0833333333333333","1.42809917355372"
"97","doors=2,safety=low => class=unacc","0.0833333333333333","1.42809917355372"
"98","class=unacc => doors=2,safety=low","0.0833333333333333","1.42809917355372"
"99","doors=3,persons=2 => class=unacc","0.0833333333333333","1.42809917355372"
"100","class=unacc => doors=3,persons=2","0.0833333333333333","1.42809917355372"
"101","doors=3,safety=low => class=unacc","0.0833333333333333","1.42809917355372"
"102","class=unacc => doors=3,safety=low","0.0833333333333333","1.42809917355372"
"103","doors=4,persons=2 => class=unacc","0.0833333333333333","1.42809917355372"
"104","class=unacc => doors=4,persons=2","0.0833333333333333","1.42809917355372"
"105","doors=4,safety=low => class=unacc","0.0833333333333333","1.42809917355372"
"106","class=unacc => doors=4,safety=low","0.0833333333333333","1.42809917355372"
"107","doors=5more,persons=2 => class=unacc","0.0833333333333333","1.42809917355372"
"108","class=unacc => doors=5more,persons=2","0.0833333333333333","1.42809917355372"
"109","doors=5more,safety=low => class=unacc","0.0833333333333333","1.42809917355372"
"110","class=unacc => doors=5more,safety=low","0.0833333333333333","1.42809917355372"
"111","maint=high,persons=2 => class=unacc","0.0833333333333333","1.42809917355372"
"112","class=unacc => maint=high,persons=2","0.0833333333333333","1.42809917355372"
"113","maint=high,safety=low => class=unacc","0.0833333333333333","1.42809917355372"
"114","class=unacc => maint=high,safety=low","0.0833333333333333","1.42809917355372"
"115","maint=low,persons=2 => class=unacc","0.0833333333333333","1.42809917355372"
"116","class=unacc => maint=low,persons=2","0.0833333333333333","1.42809917355372"
"117","maint=low,safety=low => class=unacc","0.0833333333333333","1.42809917355372"
"118","class=unacc => maint=low,safety=low","0.0833333333333333","1.42809917355372"
